-43.406, -23.917, 46.231
-41.489, -23.354, 51.374
-39.503, -23.141, 61.02
-37.505, -23.187, 68.405
-35.519, -23.416, 73.535
-33.557, -23.804, 75.44
-31.617, -24.289, 77.006
-29.701, -24.862, 79.369
-27.806, -25.501, 80.264
-25.929, -26.19, 81.016
-24.067, -26.92, 81.653
-22.219, -27.684, 82.199
-20.382, -28.476, 83.081
-18.556, -29.291, 83.444
-16.738, -30.124, 83.767
-14.926, -30.971, 84.059
-13.12, -31.83, 84.326
-11.317, -32.696, 84.573
-9.518, -33.569, 84.806
-7.72, -34.445, 84.973
-5.923, -35.323, 84.758
-4.125, -36.2, 84.547
-2.327, -37.075, 84.336
-0.526, -37.945, 84.123
1.278, -38.81, 81.412
3.085, -39.665, 78.23
4.898, -40.51, 74.913
6.716, -41.343, 71.442
8.541, -42.161, 67.794
10.374, -42.962, 63.937
12.215, -43.744, 59.833
14.065, -44.502, 55.426
15.926, -45.236, 50.636
17.798, -45.94, 45.343
19.682, -46.611, 39.345
20.79, -47.897, 33.418
20.821, -49.894, 24.691
20.204, -51.775, 20
18.67, -53.013, 20
16.756, -53.58, 65.612
14.778, -53.873, 78.237
12.789, -54.076, 84.648
10.798, -54.266, 82.021
8.809, -54.478, 80.746
6.825, -54.73, 79.943
4.848, -55.034, 79.469
2.881, -55.394, 79.234
0.925, -55.812, 79.172
-1.024, -55.949, 82.078
-2.979, -55.526, 82.228
-4.927, -55.073, 82.382
-6.869, -54.593, 82.542
-8.804, -54.088, 82.707
-10.732, -53.559, 82.878
-12.655, -53.008, 83.055
-14.572, -52.437, 83.238
-16.483, -51.848, 83.628
-18.389, -51.242, 83.835
-20.291, -50.624, 84.053
-22.19, -49.994, 84.283
-24.085, -49.357, 84.526
-25.979, -48.714, 84.783
-27.872, -48.068, 84.942
-29.765, -47.422, 84.332
-31.659, -46.781, 83.99
-33.556, -46.148, 83.62
-35.458, -45.527, 82.778
-37.365, -44.926, 80.558
-39.28, -44.348, 77.341
-41.203, -43.8, 73.984
-43.138, -43.294, 70.468
-45.084, -42.833, 66.766
-47.045, -42.439, 62.847
-49.018, -42.115, 58.667
-51.005, -41.887, 54.165
-53.001, -41.773, 49.254
-55, -41.791, 43.797
-56.992, -41.968, 37.554
-58.926, -42.428, 30.087
-60.589, -43.521, 20
-61.461, -45.272, 20
-61.082, -47.212, 23.465
-60.042, -48.915, 59.645
-58.739, -50.431, 70.701
-57.299, -51.818, 74.768
-55.782, -53.12, 77.432
-54.21, -54.358, 79.241
-52.601, -55.545, 78.945
-50.963, -56.692, 75.66
-49.302, -57.807, 72.225
-47.624, -58.895, 68.618
-45.931, -59.959, 64.81
-44.225, -61.003, 60.765
-42.51, -62.032, 56.431
-40.783, -63.041, 51.734
-38.958, -63.851, 46.574
-37.011, -64.295, 49.312
-35.017, -64.439, 43.863
-33.017, -64.436, 37.63
-31.018, -64.395, 30.133
-29.018, -64.371, 20
-28.642, -64.37, 0
-28.642, -64.37, 0
-8.642, -64.319, 0
endData
127
85
200
-43.406, -23.917, -31.299, -18.898, -3.248, -38.976, 20.669, -46.949
20.669, -46.949, 22.146, -56.398, 15.059, -52.264, -0.295, -56.102
-0.295, -56.102, -25.098, -51.083, -44.587, -39.272, -58.465, -42.224
